user_id;age;gender;education_level;employment_status;job_title;monthly_income_cop;monthly_expenses_cop;savings_cop;has_loan;loan_type;debt_to_income_ratio;credit_score;savings_to_income_ratio;region;record_date
U100000;65;femenino;pregrado;empleado;Desarrollador/a de software;6093152;4930027;43259438;0;ninguno;0;699;5;Orinoquia;2025-02
U100001;22;masculino;secundaria;empleado;Cajero/a;3835394;2256404;50023214;0;ninguno;0;771;5;Bogota D.C.;2026-07
U100002;43;femenino;pregrado;autonomo;Analista financiero/a;5821273;3712143;64610764;0;ninguno;0;573;5;Region Andina;2026-12
U100003;21;femenino;tecnico/tecnologico;empleado;Asistente de nomina;2139437;1763084;11029659;0;ninguno;0;584;5;Region Insular;2025-03
U100004;37;masculino;pregrado;empleado;Desarrollador/a de software;5654880;3533518;5204325;0;ninguno;0;634;0,9203;Region Andina;2025-11
U100005;41;masculino;secundaria;empleado;Operario/a;4195937;2269832;51531882;0;ninguno;0;629;5;Bogota D.C.;2025-07
U100006;57;masculino;pregrado;estudiante;Estudiante;831214;573142;9852253;0;ninguno;0;678;5;Region Andina;2025-11
U100007;46;masculino;secundaria;autonomo;Operario/a;3772888;3276211;12082367;1;hipoteca;0,1645;723;3,2024;Amazonia;2025-05
U100008;32;masculino;secundaria;empleado;Recepcionista;1734550;1179832;11117007;0;ninguno;0;734;5;Region Andina;2025-03
U100009;41;masculino;pregrado;empleado;Enfermero/a;4661575;2540967;88743664;0;ninguno;0;850;5;Orinoquia;2026-11
U100010;26;femenino;pregrado;autonomo;Enfermero/a;2385009;1805232;4280325;1;personal;0,1157;482;1,7947;Region Andina;2026-05
U100011;43;masculino;pregrado;jubilado;Jubilado/a;2429464;2073402;278836;0;ninguno;0;589;0,1148;Region Andina;2025-04
U100012;64;masculino;secundaria;jubilado;Jubilado/a;1379287;1117020;2867188;0;ninguno;0;506;2,0787;Region Andina;2026-03
U100013;60;femenino;tecnico/tecnologico;jubilado;Jubilado/a;1643187;1075669;9901193;0;ninguno;0;730;5;Amazonia;2026-08
U100014;44;masculino;secundaria;empleado;Cajero/a;1543137;1383712;4012280;0;ninguno;0;543;2,6001;Region Andina;2025-07
U100015;26;masculino;posgrado;empleado;Consultor/a senior;12147610;8847911;22225428;1;educativo;0,1987;440;1,8296;Region Caribe;2025-01
U100016;57;masculino;posgrado;empleado;Gerente de proyectos;11719888;6556747;49304893;0;ninguno;0;608;4,2069;Region Insular;2025-08
U100017;56;femenino;tecnico/tecnologico;empleado;Asistente de nomina;2463989;1444750;35379335;1;personal;0,4399;647;5;Bogota D.C.;2026-12
U100018;22;femenino;pregrado;autonomo;Docente;2388827;1713753;27843764;0;ninguno;0;676;5;Region Andina;2025-06
U100019;66;masculino;secundaria;empleado;Cajero/a;1926018;1419839;3301594;0;ninguno;0;507;1,7142;Region Andina;2026-04
U100020;25;femenino;pregrado;empleado;Administrador/a;5137722;3652896;21340521;1;personal;0,2634;683;4,1537;Orinoquia;2025-01
U100021;62;femenino;posgrado;jubilado;Jubilado/a;1845106;1127383;21201449;0;ninguno;0;581;5;Orinoquia;2025-10
U100022;18;femenino;tecnico/tecnologico;desempleado;Null;400832;400832;0;0;ninguno;0;448;0;Bogota D.C.;2025-07
U100023;29;masculino;secundaria;empleado;Cajero/a;1739333;882831;17819032;1;hipoteca;0,2444;533;5;Bogota D.C.;2026-01
U100024;24;otro;secundaria;autonomo;Auxiliar de bodega;2276854;1676473;19313571;0;ninguno;0;723;5;Region Andina;2026-06
U100025;37;masculino;pregrado;empleado;Desarrollador/a de software;5115494;3636546;44450558;1;personal;0,2206;699;5;Region Andina;2026-06
U100026;62;masculino;pregrado;empleado;Enfermero/a;7182487;5823025;24854448;0;ninguno;0;658;3,4604;Region Andina;2025-01
U100027;23;femenino;pregrado;empleado;Administrador/a;7675779;4232566;81371133;0;ninguno;0;807;5;Region Caribe;2027-12
U100028;42;masculino;secundaria;empleado;Mensajero/a;2169280;1367638;1534829;0;ninguno;0;579;0,7075;Region Pacifica;2026-08
U100029;66;femenino;secundaria;jubilado;Jubilado/a;2112565;1203933;14840887;1;personal;0,3793;433;5;Bogota D.C.;2025-10
U100030;18;masculino;secundaria;empleado;Mensajero/a;3388292;2662439;15723270;0;ninguno;0;514;4,6405;Bogota D.C.;2025-05
U100031;52;masculino;pregrado;empleado;Ingeniero/a civil;7487719;4795463;24665350;0;ninguno;0;559;3,2941;Region Andina;2026-11
U100032;27;otro;secundaria;jubilado;Jubilado/a;1337314;807436;0;0;ninguno;0;446;0;Region Pacifica;2026-03
U100033;32;masculino;secundaria;empleado;Cajero/a;2363634;1222798;37906832;1;hipoteca;0,4463;819;5;Region Insular;2026-06
U100034;56;masculino;tecnico/tecnologico;empleado;Agente de soporte;4354818;2454518;80166744;0;ninguno;0;800;5;Region Andina;2026-12
U100035;22;masculino;pregrado;autonomo;Administrador/a;7529249;3960583;30136340;0;ninguno;0;643;4,0026;Region Caribe;2026-08
U100036;64;masculino;secundaria;jubilado;Jubilado/a;1510345;1088278;15750800;0;ninguno;0;570;5;Region Andina;2026-10
U100037;27;femenino;secundaria;empleado;Operario/a;2404777;2057238;7363851;1;personal;0,2803;606;3,0622;Amazonia;2025-04
U100038;41;femenino;posgrado;autonomo;Consultor/a senior;6215778;4516588;11735612;1;hipoteca;0,4211;592;1,888;Bogota D.C.;2026-01
U100039;53;femenino;posgrado;empleado;Especialista en datos;9671745;6002861;108299068;0;ninguno;0;688;5;Region Caribe;2025-09
U100040;21;femenino;tecnico/tecnologico;desempleado;Null;211698;211698;0;0;ninguno;0;596;0;Region Andina;2025-11
U100041;26;femenino;pregrado;empleado;Administrador/a;8499416;6661079;16657050;1;automotor;0,3408;686;1,9598;Bogota D.C.;2025-05
U100042;37;femenino;tecnico/tecnologico;empleado;Asistente de nomina;3031556;2643540;17829885;1;automotor;0,2405;672;5;Bogota D.C.;2025-10
U100043;66;femenino;tecnico/tecnologico;empleado;Diseñador/a grafico/a jr;1672540;1219777;26681834;0;ninguno;0;694;5;Region Insular;2025-05
U100044;19;femenino;pregrado;empleado;Ingeniero/a civil;5764790;3091202;24789582;1;automotor;0,135;546;4,3002;Orinoquia;2025-02
U100045;18;masculino;posgrado;empleado;Investigador/a;5178742;3218116;42983274;1;personal;0,1406;845;5;Region Andina;2025-01
U100046;34;femenino;secundaria;desempleado;Null;244390;224187;365282;0;ninguno;0;638;1,4947;Region Insular;2025-09
U100047;49;masculino;secundaria;jubilado;Jubilado/a;2208235;1605014;6726566;0;ninguno;0;616;3,0461;Region Andina;2025-01
U100048;47;masculino;secundaria;empleado;Auxiliar administrativo/a;2297047;1613347;13707411;0;ninguno;0;715;5;Bogota D.C.;2026-01
U100049;62;masculino;pregrado;jubilado;Jubilado/a;1459322;1222626;2451528;0;ninguno;0;629;1,6799;Region Andina;2025-10
U100050;46;masculino;pregrado;empleado;Contador/a;5516333;3493069;37706907;1;hipoteca;0,3921;611;5;Region Insular;2026-08
U100051;25;femenino;secundaria;empleado;Cajero/a;2773543;1650034;37480497;0;ninguno;0;753;5;Region Pacifica;2026-08
U100052;41;masculino;posgrado;empleado;Especialista en datos;12439147;9250753;89054925;0;ninguno;0;686;5;Region Pacifica;2025-08
U100053;28;masculino;pregrado;empleado;Docente;6453495;5245054;29677223;1;hipoteca;0,3659;684;4,5986;Region Andina;2025-07
U100054;59;masculino;pregrado;empleado;Contador/a;3813750;2609787;34415987;0;ninguno;0;716;5;Region Pacifica;2026-10
U100055;53;femenino;tecnico/tecnologico;empleado;Tecnico en sistemas;3939774;2643299;28294268;0;ninguno;0;515;5;Region Andina;2025-04
U100056;18;femenino;secundaria;estudiante;Estudiante;1128808;759345;3909531;1;personal;0,2399;671;3,4634;Region Andina;2026-08
U100057;25;masculino;secundaria;desempleado;Null;480546;480546;0;0;ninguno;0;365;0;Region Pacifica;2025-08
U100058;41;masculino;pregrado;empleado;Desarrollador/a de software;3236079;2599965;8327315;0;ninguno;0;479;2,5733;Region Caribe;2026-03
U100059;46;masculino;pregrado;empleado;Contador/a;4048681;3244316;19094358;0;ninguno;0;677;4,7162;Region Pacifica;2025-08
U100060;50;femenino;posgrado;empleado;Especialista en datos;8650475;5322040;9587767;0;ninguno;0;626;1,1084;Region Caribe;2026-08
U100061;39;femenino;tecnico/tecnologico;empleado;Asistente de nomina;2379494;2091985;10154621;1;hipoteca;0,2905;715;4,2676;Region Pacifica;2027-12
U100062;54;femenino;secundaria;empleado;Operario/a;2325494;1378189;24303097;0;ninguno;0;850;5;Region Caribe;2026-01
